id,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
5846,Sunshine West,18 Norton St,3,h,586000.0,S,Barry,27/06/2016,13.5,3020.0,3.0,1.0,1.0,701.0,120.0,1960.0,Brimbank City Council,-37.7843,144.8052,Western Metropolitan,6763.0
5847,West Melbourne,10/11 Anderson St,1,u,850000.0,S,Alexkarbon,7/10/2017,3.1,3003.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,2230.0
5848,Clifton Hill,31 Fenwick St,2,h,1450000.0,VB,Nelson,18/03/2017,3.4,3068.0,2.0,1.0,0.0,156.0,107.0,1890.0,Yarra City Council,-37.7892,144.9999,Northern Metropolitan,2954.0
5849,Heidelberg Heights,9 Heffernan Wk,3,t,760000.0,SP,Nelson,6/01/2018,8.8,3081.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,2947.0
5850,Newport,2/22 Thorpe St,2,u,600000.0,S,RT,12/08/2017,6.2,3015.0,2.0,1.0,1.0,163.0,,1990.0,Hobsons Bay City Council,-37.84608,144.86525,Western Metropolitan,5498.0
5851,Brighton East,39 Ferguson St,3,h,1100000.0,S,HAR,25/02/2017,10.7,3187.0,3.0,1.0,1.0,420.0,,,Bayside City Council,-37.9108,145.0121,Southern Metropolitan,6938.0
5852,Templestowe Lower,2/47 Parker St,2,t,678000.0,S,Barry,15/10/2016,13.8,3107.0,2.0,1.0,1.0,340.0,90.0,1980.0,Manningham City Council,-37.7564,145.1195,Eastern Metropolitan,5420.0
5853,Fairfield,17 Langridge St,3,h,1330000.0,S,Barry,7/05/2016,5.8,3078.0,,,,,,,Darebin City Council,,,Northern Metropolitan,2970.0
5854,Essendon,103 Woodland St,3,h,1550000.0,S,Nelson,15/07/2017,7.5,3040.0,3.0,1.0,1.0,730.0,,,Moonee Valley City Council,-37.74253,144.91753,Western Metropolitan,9264.0
5855,Oakleigh East,3/1 Inga St,3,u,740000.0,S,Buxton,3/06/2017,12.3,3166.0,3.0,1.0,1.0,211.0,90.0,2004.0,Monash City Council,-37.89941,145.11523,Southern Metropolitan,2547.0
5856,Reservoir,3/66 Darebin Bvd,2,u,401000.0,S,Darren,10/12/2016,11.2,3073.0,2.0,1.0,1.0,184.0,77.0,1965.0,Darebin City Council,-37.7043,145.0277,Northern Metropolitan,21650.0
5857,Reservoir,4/1067 High St,2,u,240000.0,PI,Stockdale,26/07/2016,11.2,3073.0,2.0,1.0,1.0,82.0,,1970.0,Darebin City Council,-37.6983,145.0104,Northern Metropolitan,21650.0
5858,Thornbury,126 Keon St,3,h,1265000.0,S,Jellis,15/10/2016,6.5,3071.0,3.0,2.0,2.0,397.0,97.0,1920.0,Darebin City Council,-37.7515,144.9857,Northern Metropolitan,8870.0
5859,Elwood,2A Cyril St,4,h,2200000.0,VB,Gary,23/09/2017,7.2,3184.0,4.0,3.0,2.0,,,,Port Phillip City Council,-37.87701,144.99145,Southern Metropolitan,8989.0
5860,Maribyrnong,6 Woodruff Av,4,h,1125000.0,PI,Nelson,3/06/2017,4.3,3032.0,,,,,,,Maribyrnong City Council,,,Western Metropolitan,4918.0
5861,St Kilda,25 Smith St,2,h,1316000.0,S,Gary,18/03/2017,6.1,3182.0,2.0,1.0,0.0,215.0,,,Port Phillip City Council,-37.869,144.9826,Southern Metropolitan,13240.0
5862,Balwyn North,7 Lawson St,4,h,2640000.0,VB,Marshall,6/01/2018,9.7,3104.0,,,,,,,Boroondara City Council,,,Southern Metropolitan,7809.0
5863,Airport West,45 Laurence Av,4,h,960000.0,S,Nelson,6/08/2016,13.5,3042.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,3464.0
5864,St Albans,29 Marsden Cr,2,h,940000.0,S,Ray,27/05/2017,14.0,3021.0,,,,,,,Brimbank City Council,,,Western Metropolitan,14042.0
5865,South Yarra,1 Moore St,3,h,1720000.0,PI,Jellis,24/02/2018,2.7,3141.0,3.0,2.0,1.0,277.0,161.0,1895.0,Melbourne City Council,-37.8457,144.98871,Southern Metropolitan,14887.0
5866,Reservoir,3/76 Southernhay St,2,t,668500.0,S,Nelson,1/07/2017,12.0,3073.0,2.0,2.0,1.0,138.0,104.63,2014.0,Darebin City Council,-37.72487,145.00705,Northern Metropolitan,21650.0
5867,Ashwood,4 Moore St,4,h,1425000.0,S,Buxton,24/06/2017,10.2,3147.0,4.0,1.0,2.0,778.0,,,Monash City Council,-37.86301,145.11158999999995,Southern Metropolitan,2894.0
5868,Ascot Vale,28 Gillespie Av,3,h,1080000.0,S,Brad,24/02/2018,4.3,3032.0,3.0,2.0,2.0,223.0,137.0,2010.0,Moonee Valley City Council,-37.77748,144.90652,Western Metropolitan,6567.0
5869,Kealba,4 Woolstone Cl,4,h,560000.0,SP,Brad,24/09/2016,15.0,3021.0,4.0,2.0,2.0,612.0,155.0,1980.0,Brimbank City Council,-37.7378,144.8264,Western Metropolitan,1202.0
5870,Port Melbourne,702/127 Beach St,2,u,1252000.0,SP,Cayzer,24/09/2016,3.8,3207.0,2.0,1.0,2.0,0.0,,,Melbourne City Council,-37.8399,144.9287,Southern Metropolitan,8648.0
5871,Burwood,1/24 Daniel St,3,t,975000.0,VB,Reed,8/04/2017,11.7,3125.0,3.0,2.0,2.0,267.0,150.0,2012.0,Monash City Council,-37.8463,145.1071,Southern Metropolitan,5678.0
5872,Dandenong North,39 Galloway St,3,h,632000.0,SP,Del,3/09/2017,24.7,3175.0,3.0,1.0,2.0,544.0,,,Greater Dandenong City Council,-37.95135,145.19806,South-Eastern Metropolitan,8322.0
5873,Mount Waverley,3 Huxtable St,4,h,1720000.0,S,Ray,1/07/2017,14.2,3149.0,4.0,2.0,3.0,741.0,,,Monash City Council,-37.86989000000001,145.1434,Eastern Metropolitan,13366.0
5874,South Kingsville,55A Vernon St,4,h,1030000.0,SP,Jas,17/03/2018,6.2,3015.0,4.0,3.0,2.0,212.0,192.0,2013.0,Hobsons Bay City Council,-37.83187,144.87164,Western Metropolitan,984.0
5875,Bundoora,4 Berringa Ct,3,h,1121000.0,S,Morrison,28/10/2017,12.1,3083.0,3.0,2.0,2.0,1167.0,,,Banyule City Council,-37.69561,145.0724,Northern Metropolitan,10175.0
5876,Albert Park,55 Withers St,4,h,2800000.0,VB,Cayzer,18/06/2016,3.3,3206.0,4.0,3.0,1.0,327.0,254.0,1910.0,Port Phillip City Council,-37.8467,144.9475,Southern Metropolitan,3280.0
5877,Coburg,7A Younger St,3,h,810000.0,VB,Brad,24/02/2018,6.7,3058.0,3.0,2.0,1.0,182.0,118.0,2008.0,Darebin City Council,-37.74319000000001,144.97717,Northern Metropolitan,11204.0
5878,Hadfield,4 Thames St,3,h,770000.0,S,Stockdale,12/11/2016,12.1,3046.0,3.0,1.0,2.0,700.0,,,Moreland City Council,-37.705,144.9469,Northern Metropolitan,2606.0
5879,Bentleigh East,122B Tambet St,3,t,1200000.0,PI,Purplebricks,13/05/2017,13.9,3165.0,3.0,2.0,2.0,369.0,,,Glen Eira City Council,-37.9092,145.0728,Southern Metropolitan,10969.0
5880,Sunshine West,147 Hilma St,3,h,560000.0,S,Barry,3/12/2016,13.5,3020.0,3.0,1.0,3.0,582.0,115.0,1970.0,Brimbank City Council,-37.7906,144.7929,Western Metropolitan,6763.0
5881,Fawkner,2/26 Shirley St,3,t,553500.0,S,Ray,12/11/2016,12.4,3060.0,3.0,2.0,1.0,280.0,,,Hume City Council,-37.7027,144.9615,Northern Metropolitan,5070.0
5882,Mount Waverley,2/2 Una St,3,h,1150000.0,PI,Fletchers,16/09/2017,14.2,3149.0,3.0,2.0,2.0,,,,Monash City Council,-37.87399,145.13873,Eastern Metropolitan,13366.0
5883,Viewbank,6 Dawn Ct,4,h,1003000.0,S,Nelson,20/05/2017,13.8,3084.0,4.0,2.0,2.0,619.0,,,Banyule City Council,-37.7355,145.0928,Eastern Metropolitan,2698.0
5884,Hampton,131 Linacre Rd,4,h,1680000.0,S,hockingstuart,6/08/2016,13.7,3188.0,4.0,1.0,1.0,723.0,90.0,1955.0,Bayside City Council,-37.9437,145.0175,Southern Metropolitan,5454.0
5885,Bundoora,9 Luton Wy,5,h,750000.0,S,Barry,3/06/2017,12.1,3083.0,,,,,,,Banyule City Council,,,Northern Metropolitan,10175.0
5886,Viewbank,5 Rainsford Pl,5,h,1160000.0,VB,Miles,18/11/2017,8.9,3084.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,2698.0
5887,South Yarra,9/10 Tivoli Rd,2,u,475000.0,PI,Buxton,3/09/2016,3.3,3141.0,2.0,1.0,0.0,0.0,,,Melbourne City Council,-37.8391,144.9984,Southern Metropolitan,14887.0
5888,Oak Park,1 Victoria St,2,h,592000.0,S,Barry,3/09/2016,11.5,3046.0,2.0,1.0,2.0,577.0,,,Moreland City Council,-37.7137,144.9167,Northern Metropolitan,2651.0
5889,Kensington,4/130 Kensington Rd,2,t,750000.0,S,Rendina,7/05/2016,4.2,3031.0,2.0,1.0,1.0,325.0,112.0,2002.0,Melbourne City Council,-37.7976,144.9213,Northern Metropolitan,5263.0
5890,Parkville,401/228 The Avenue,3,u,1770000.0,S,Woodards,3/06/2017,1.8,3052.0,3.0,2.0,1.0,2431.0,70.0,1999.0,Melbourne City Council,-37.78212,144.95755,Northern Metropolitan,2309.0
5891,Heidelberg West,23 South Cr,2,h,790000.0,S,Barry,25/02/2017,9.4,3081.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,2674.0
5892,Sunshine,20 Couch St,3,u,764000.0,S,Barry,14/10/2017,10.5,3020.0,3.0,2.0,1.0,,129.0,2014.0,Brimbank City Council,-37.79513,144.83218,Western Metropolitan,3755.0
5893,Brunswick,57 Edward St,3,h,1200000.0,S,Nelson,3/09/2017,5.2,3056.0,3.0,2.0,1.0,249.0,,,Moreland City Council,-37.77394,144.96317,Northern Metropolitan,11918.0
5894,Elwood,14/125 Ormond Rd,2,u,800000.0,SP,Buxton,20/05/2017,7.7,3184.0,2.0,2.0,2.0,0.0,92.0,2001.0,Port Phillip City Council,-37.8857,144.9884,Southern Metropolitan,8989.0
5895,Oakleigh South,2/15 Golf Rd,3,u,815000.0,S,Woodards,13/05/2017,14.7,3167.0,3.0,1.0,2.0,393.0,,,Kingston City Council,-37.9233,145.1062,South-Eastern Metropolitan,3692.0
5896,Nunawading,21 Patterson St,4,h,1330000.0,S,JRW,18/11/2017,15.4,3131.0,,,,,,,Manningham City Council,,,Eastern Metropolitan,4973.0
5897,Sunshine West,9 Carter St,2,h,740000.0,PI,S&L,24/02/2018,10.5,3020.0,2.0,1.0,0.0,698.0,,,Brimbank City Council,-37.78884,144.81455,Western Metropolitan,6763.0
5898,Essendon,1/26 Richardson St,3,t,1275000.0,SP,Frank,28/05/2016,8.0,3040.0,,,,,,,Moonee Valley City Council,,,Western Metropolitan,9264.0
5899,Ivanhoe,3A Rose St,4,h,1865000.0,S,Miles,11/11/2017,7.8,3079.0,4.0,2.0,1.0,389.0,235.0,2000.0,Banyule City Council,-37.7743,145.0407,Eastern Metropolitan,5549.0
5900,Kew,5/93 Princess St,3,t,732000.0,S,Nelson,26/07/2016,5.6,3101.0,3.0,1.0,1.0,904.0,110.0,1980.0,Boroondara City Council,-37.801,145.0297,Southern Metropolitan,10331.0
5901,Oakleigh South,1/30 Mimosa Av,3,u,710000.0,SP,Buxton,17/09/2016,14.7,3167.0,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,3692.0
5902,Hawthorn,1/514 Glenferrie Rd,3,u,1000000.0,S,Jellis,1/07/2017,5.3,3122.0,3.0,1.0,1.0,1079.0,90.0,1940.0,Boroondara City Council,-37.82987,145.03421,Southern Metropolitan,11308.0
5903,Altona North,269 Blackshaws Rd,3,h,916000.0,SP,Hunter,20/05/2017,11.1,3025.0,3.0,1.0,2.0,606.0,109.0,1970.0,Hobsons Bay City Council,-37.8326,144.8594,Western Metropolitan,5132.0
5904,Carnegie,33 Moira Av,3,h,1185000.0,S,hockingstuart,10/09/2016,11.4,3163.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,7822.0
5905,Malvern East,14 Hedgeley Av,5,h,4500000.0,VB,Marshall,25/11/2017,8.4,3145.0,5.0,3.0,3.0,,410.0,1930.0,Stonnington City Council,-37.8682,145.0586,Southern Metropolitan,8801.0
5906,Essendon,4/23 Fletcher St,2,u,456000.0,S,Brad,8/10/2016,8.0,3040.0,2.0,1.0,0.0,0.0,,,Moonee Valley City Council,-37.7557,144.9222,Western Metropolitan,9264.0
5907,Heidelberg West,187 Southern Rd,2,h,715000.0,S,Haughton,25/02/2017,9.4,3081.0,2.0,1.0,3.0,609.0,,,Banyule City Council,-37.7415,145.0391,Eastern Metropolitan,2674.0
5908,Maidstone,29 Rosamond Rd,3,h,725000.0,SP,Biggin,7/11/2016,9.2,3012.0,3.0,1.0,2.0,305.0,,,Maribyrnong City Council,-37.7858,144.8834,Western Metropolitan,3873.0
5909,Altona,104 Maidstone St,2,h,857000.0,SP,hockingstuart,27/11/2016,13.8,3018.0,2.0,2.0,1.0,675.0,100.0,1950.0,Hobsons Bay City Council,-37.8653,144.8129,Western Metropolitan,5301.0
5910,Keilor East,25 Regent St,5,h,800000.0,S,Nelson,7/10/2017,11.7,3033.0,5.0,2.0,1.0,532.0,,,Brimbank City Council,-37.74318,144.8597,Western Metropolitan,5629.0
5911,Altona North,83 Seventh Av,3,h,880000.0,PI,hockingstuart,19/08/2017,9.4,3025.0,3.0,1.0,2.0,563.0,,,Hobsons Bay City Council,-37.83879,144.84787,Western Metropolitan,5132.0
5912,Balwyn,122 Winmalee Rd,3,h,3400000.0,PI,Jellis,17/03/2018,7.9,3103.0,3.0,2.0,4.0,1490.0,,,Boroondara City Council,-37.80828,145.09503,Southern Metropolitan,5682.0
5913,Williamstown,83 Power St,3,h,1170000.0,S,Raine,26/08/2017,6.8,3016.0,3.0,2.0,4.0,436.0,,1997.0,Hobsons Bay City Council,-37.85274,144.88738,Western Metropolitan,6380.0
5914,Elwood,11 Joyce St,3,h,1800000.0,VB,Marshall,16/09/2017,7.2,3184.0,3.0,2.0,2.0,380.0,,1920.0,Port Phillip City Council,-37.88922,144.9896,Southern Metropolitan,8989.0
5915,Kensington,13/26 Barnett St,1,u,445000.0,S,Jellis,18/03/2017,4.2,3031.0,1.0,1.0,0.0,0.0,67.0,1997.0,Melbourne City Council,-37.7913,144.9323,Northern Metropolitan,5263.0
5916,Craigieburn,35 Hurlingham Wy,3,h,462000.0,S,Barry,14/10/2017,20.6,3064.0,3.0,2.0,1.0,,117.0,2005.0,Hume City Council,-37.58313,144.92218,Northern Metropolitan,15510.0
5917,Albert Park,123 Richardson St,4,h,2550000.0,S,Marshall,19/08/2017,3.0,3206.0,4.0,2.0,,152.0,175.0,1910.0,Port Phillip City Council,-37.84663,144.95681000000005,Southern Metropolitan,3280.0
5918,Clifton Hill,40 Myrtle St,2,h,1290000.0,S,Jellis,10/12/2016,3.4,3068.0,2.0,1.0,0.0,164.0,99.0,1890.0,Yarra City Council,-37.7912,144.9967,Northern Metropolitan,2954.0
5919,Footscray,3 Park St,4,h,775000.0,S,Sweeney,8/10/2016,6.4,3011.0,2.0,1.0,2.0,277.0,87.0,1890.0,Maribyrnong City Council,-37.7901,144.8883,Western Metropolitan,7570.0
5920,Mernda,14 Tarwin Dr,3,h,595000.0,S,RW,6/01/2018,25.9,3754.0,3.0,2.0,2.0,,151.0,2007.0,Whittlesea City Council,-37.61243,145.09443000000005,Northern Metropolitan,5812.0
5921,Rosanna,2 Millicent St,4,h,1050000.0,VB,Nelson,10/12/2016,11.4,3084.0,,,,,,,Banyule City Council,,,Eastern Metropolitan,3540.0
5922,Bentleigh East,45 Browns Rd,3,h,1560000.0,S,Woodards,16/04/2016,13.9,3165.0,3.0,1.0,2.0,841.0,,,Glen Eira City Council,-37.9217,145.056,Southern Metropolitan,10969.0
5923,Heidelberg West,122 Altona St,3,h,846000.0,S,Ray,16/09/2017,8.8,3081.0,3.0,2.0,2.0,605.0,,,Banyule City Council,-37.74591,145.04449,Eastern Metropolitan,2674.0
5924,Hampton,7 Wave St,3,h,2100000.0,S,Marshall,17/06/2017,13.8,3188.0,3.0,2.0,1.0,455.0,,1990.0,Bayside City Council,-37.93739,145.00513,Southern Metropolitan,5454.0
5925,Thornbury,5 Shaftesbury Pde,2,h,1260000.0,S,Nelson,29/04/2017,6.5,3071.0,2.0,1.0,0.0,317.0,96.0,1910.0,Darebin City Council,-37.7606,144.9995,Northern Metropolitan,8870.0
5926,Reservoir,1/29 Goulburn Av,2,u,550000.0,S,Barry,3/12/2016,11.2,3073.0,,,,,,,Darebin City Council,,,Northern Metropolitan,21650.0
5927,Bentleigh East,61 Tambet St,4,t,1336000.0,S,Jellis,17/03/2018,13.8,3165.0,4.0,2.0,2.0,338.0,,2013.0,Glen Eira City Council,-37.91366,145.07151000000005,Southern Metropolitan,10969.0
5928,Mooroolbark,11 Western Wy,3,h,760000.0,S,Fletchers,26/08/2017,26.5,3138.0,3.0,1.0,2.0,864.0,,,Yarra Ranges Shire Council,-37.76983,145.31687,Eastern Victoria,8280.0
5929,Oakleigh South,36 Bossington St,3,h,1218500.0,S,hockingstuart,17/06/2017,15.5,3167.0,3.0,1.0,2.0,673.0,101.0,1950.0,Kingston City Council,-37.91693,145.08739,South-Eastern Metropolitan,3692.0
5930,Balwyn North,34 Kawarren St,6,h,1900000.0,S,Fletchers,25/02/2017,9.2,3104.0,6.0,3.0,2.0,808.0,,1974.0,Boroondara City Council,-37.7842,145.0921,Southern Metropolitan,7809.0
5931,Glen Huntly,122/115 Neerim Rd,2,u,390000.0,S,Woodards,4/06/2016,10.4,3163.0,,,,,,,Glen Eira City Council,,,Southern Metropolitan,2403.0
5932,Craigieburn,45 Loudon Cct,3,h,480000.0,SP,LJ,25/11/2017,20.6,3064.0,,,,,,,Hume City Council,,,Northern Metropolitan,15510.0
5933,Strathmore,43 Woolart St,4,h,1015000.0,S,Considine,6/08/2016,9.7,3041.0,3.0,2.0,1.0,794.0,,1970.0,Moonee Valley City Council,-37.7196,144.9062,Western Metropolitan,3284.0
5934,West Melbourne,140 Adderley St,4,h,1700000.0,VB,Rendina,18/11/2017,3.1,3003.0,,,,,,,Melbourne City Council,,,Northern Metropolitan,2230.0
5935,Epping,10 Saddlers Ct,4,h,652000.0,S,hockingstuart,11/11/2017,19.6,3076.0,4.0,2.0,4.0,568.0,,,Whittlesea City Council,-37.644,145.0488,Northern Metropolitan,10926.0
5936,Balwyn North,16 Burton St,4,h,2050000.0,S,Jellis,27/05/2017,9.7,3104.0,4.0,3.0,2.0,526.0,,2006.0,Boroondara City Council,-37.80365,145.09048,Southern Metropolitan,7809.0
5937,Balaclava,7/38 Brighton Rd,1,u,438000.0,S,Beller,14/05/2016,6.6,3183.0,,,,,,,Port Phillip City Council,,,Southern Metropolitan,2952.0
5938,Kew East,44 Westbrook St,3,h,1880000.0,S,Jellis,15/10/2016,7.5,3102.0,3.0,1.0,2.0,836.0,,,Boroondara City Council,-37.7951,145.053,Southern Metropolitan,2671.0
5939,Brighton East,6 Murray St,5,h,1450000.0,PI,Buxton,22/05/2016,10.7,3187.0,5.0,3.0,2.0,527.0,,,Bayside City Council,-37.9061,145.0238,Southern Metropolitan,6938.0
5940,Mill Park,3/84 Mill Park Dr,2,t,480750.0,S,Ray,27/05/2017,17.9,3082.0,2.0,1.0,1.0,114.0,92.0,,Whittlesea City Council,-37.67761,145.06132,Northern Metropolitan,10529.0
5941,Ashburton,23 Solway St,4,h,2220000.0,S,Marshall,13/05/2017,11.0,3147.0,4.0,3.0,2.0,480.0,244.0,2016.0,Boroondara City Council,-37.8726,145.0716,Southern Metropolitan,3052.0
5942,Armadale,791 High St,3,h,1800000.0,PI,RT,15/10/2016,6.3,3143.0,3.0,2.0,2.0,405.0,121.0,1910.0,Stonnington City Council,-37.8545,145.0145,Southern Metropolitan,4836.0
5943,South Yarra,15 Powell St,2,h,1036500.0,S,hockingstuart,13/08/2016,3.3,3141.0,2.0,1.0,0.0,105.0,,,Melbourne City Council,-37.8403,144.9893,Southern Metropolitan,14887.0
5944,Roxburgh Park,22 Serpens Ct,3,h,531000.0,S,Raine,25/11/2017,20.6,3064.0,3.0,2.0,1.0,510.0,,,Hume City Council,-37.621,144.9367,Northern Metropolitan,5833.0
5945,Richmond,41 Cameron St,3,h,1320000.0,S,RT,24/09/2016,2.6,3121.0,3.0,2.0,2.0,171.0,118.0,1890.0,Yarra City Council,-37.8166,144.9987,Northern Metropolitan,14949.0
5946,South Yarra,1 Davis Av,4,h,2300000.0,VB,Kay,23/04/2016,3.3,3141.0,,,,,,,Melbourne City Council,,,Southern Metropolitan,14887.0
5947,Pascoe Vale,5/48 Railway Pde,3,t,734000.0,S,Brad,28/10/2017,8.5,3044.0,,,,,,,Moreland City Council,,,Northern Metropolitan,7485.0
5948,Hughesdale,14 Bowmore St,4,h,1700000.0,S,Ray,12/11/2016,13.0,3166.0,4.0,2.0,2.0,545.0,180.0,1940.0,Monash City Council,-37.9002,145.0773,Southern Metropolitan,3145.0
5949,Ivanhoe,197 Banksia St,4,h,1200000.0,VB,Barry,26/08/2017,7.8,3079.0,4.0,2.0,2.0,585.0,,1950.0,Banyule City Council,-37.75722,145.04399999999995,Eastern Metropolitan,5549.0
5950,Viewbank,9 Dawn Ct,4,h,1140000.0,VB,Miles,6/01/2018,8.9,3084.0,4.0,2.0,2.0,574.0,236.0,1980.0,Banyule City Council,-37.73544,145.0921,Eastern Metropolitan,2698.0
5951,Williamstown,73 Victoria St,4,h,1900000.0,SP,Village,11/03/2017,8.0,3016.0,4.0,3.0,2.0,321.0,287.0,,Hobsons Bay City Council,-37.8623,144.8884,Western Metropolitan,6380.0
5952,Cremorne,443 Punt Rd,3,h,1280000.0,S,Biggin,7/11/2016,2.5,3121.0,3.0,2.0,2.0,324.0,165.0,1880.0,Yarra City Council,-37.8278,144.9885,Northern Metropolitan,1123.0
5953,Doncaster East,11 May St,3,h,2260000.0,S,Jellis,11/11/2017,14.3,3109.0,3.0,1.0,2.0,995.0,,,Manningham City Council,-37.7832,145.1618,Eastern Metropolitan,10999.0
5954,Blackburn North,2/6 Charlton St,4,t,1031000.0,S,Jellis,10/02/2018,13.4,3130.0,,,,,,,Whitehorse City Council,,,Eastern Metropolitan,2867.0
5955,Malvern East,15 Winton Rd,4,t,1510000.0,S,Jellis,20/05/2017,11.2,3145.0,4.0,3.0,2.0,274.0,225.98,,Stonnington City Council,-37.87300000000001,145.0664,Southern Metropolitan,8801.0
5956,Mitcham,1/3 Warnes Rd,4,h,910000.0,S,Noel,11/11/2017,17.2,3132.0,,,,,,,Whitehorse City Council,,,Eastern Metropolitan,6871.0
5957,Templestowe Lower,40 Mincha Av,5,h,890000.0,S,Barry,22/05/2016,13.8,3107.0,,,,,,,Manningham City Council,,,Eastern Metropolitan,5420.0
5958,Altona North,22 Knapp St,4,h,1030000.0,PI,hockingstuart,8/07/2017,9.4,3025.0,4.0,3.0,2.0,533.0,,,Hobsons Bay City Council,-37.82726,144.83533,Western Metropolitan,5132.0
5959,Edithvale,31 Berry Av,3,h,775000.0,PI,O'Brien,27/05/2017,27.0,3196.0,,,,,,,Kingston City Council,,,South-Eastern Metropolitan,2546.0
5960,Airport West,145a Victory Rd,2,u,440000.0,S,Barry,13/08/2016,13.5,3042.0,2.0,1.0,1.0,192.0,,,Moonee Valley City Council,-37.7177,144.8787,Western Metropolitan,3464.0
5961,Northcote,65 Westgarth St,3,h,1415000.0,S,Woodards,1/07/2017,5.3,3070.0,3.0,1.0,1.0,366.0,,,Darebin City Council,-37.78103,144.998,Northern Metropolitan,11364.0
5962,Bayswater,14 Fallons Wy,3,h,910000.0,S,Noel,6/01/2018,23.2,3153.0,3.0,3.0,4.0,1028.0,175.0,1980.0,Knox City Council,-37.84034000000001,145.25416,Eastern Metropolitan,5030.0
5963,Richmond,22a Stanley St,3,h,1600000.0,S,Biggin,24/09/2016,2.6,3121.0,3.0,2.0,2.0,80.0,144.0,1850.0,Yarra City Council,-37.8233,144.9947,Northern Metropolitan,14949.0
5964,St Albans,139 Taylors Rd,4,h,680000.0,S,Barry,24/02/2018,14.0,3021.0,4.0,1.0,1.0,591.0,,,Brimbank City Council,-37.72834,144.79987,Western Metropolitan,14042.0
5965,Maidstone,3/20 Burns St,3,u,520000.0,PI,Burnham,10/12/2016,9.2,3012.0,3.0,2.0,2.0,184.0,184.0,,Maribyrnong City Council,-37.7868,144.8772,Western Metropolitan,3873.0
5966,Dandenong,1462 Heatherton Rd,3,h,880000.0,S,Barry,22/07/2017,24.7,3175.0,3.0,2.0,10.0,734.0,,,Greater Dandenong City Council,-37.96969,145.21043,South-Eastern Metropolitan,10894.0
5967,Kew,15 Barry St,6,h,6500000.0,S,Jellis,13/08/2016,5.6,3101.0,6.0,6.0,3.0,1334.0,365.0,1890.0,Boroondara City Council,-37.8029,145.0267,Southern Metropolitan,10331.0
5968,Brighton East,9 Curzon St,3,h,1880000.0,S,Hodges,6/01/2018,10.3,3187.0,3.0,1.0,2.0,674.0,,,Bayside City Council,-37.92047,145.01317,Southern Metropolitan,6938.0
5969,Northcote,99 Kellett St,3,h,1235000.0,S,Ray,29/04/2017,5.5,3070.0,3.0,1.0,1.0,534.0,127.0,1960.0,Darebin City Council,-37.7677,145.0142,Northern Metropolitan,11364.0
5970,Kensington,105/18 Bent St,2,u,730000.0,SP,Nelson,17/06/2017,3.4,3031.0,2.0,2.0,1.0,2135.0,90.0,2010.0,Melbourne City Council,-37.79561,144.93499,Northern Metropolitan,5263.0
5971,Rosanna,38 Grove Rd,3,h,805000.0,S,Miles,7/10/2017,8.9,3084.0,3.0,2.0,0.0,,,,Banyule City Council,-37.74448,145.06955,Eastern Metropolitan,3540.0
5972,Brunswick East,120 Victoria St,3,h,1325000.0,PI,Jellis,27/11/2016,4.5,3057.0,3.0,2.0,2.0,190.0,135.0,1940.0,Moreland City Council,-37.7684,144.9739,Northern Metropolitan,5533.0
5973,Niddrie,20 Grandview Rd,4,h,1245000.0,PI,McDonald,27/11/2016,11.2,3042.0,4.0,3.0,3.0,0.0,225.0,1950.0,Moonee Valley City Council,-37.7386,144.8902,Western Metropolitan,2291.0
5974,Keysborough,3 Scotch Av,2,t,688000.0,S,iSell,12/08/2017,25.2,3173.0,2.0,2.0,1.0,240.0,,,Greater Dandenong City Council,-38.00013,145.14673,South-Eastern Metropolitan,8459.0
5975,Bentleigh East,579 Warrigal Rd,3,h,700000.0,S,Thomson,22/05/2016,13.9,3165.0,0.0,0.0,0.0,456.0,,,Glen Eira City Council,-37.9314,145.0808,Southern Metropolitan,10969.0
5976,Deer Park,37 Lee St,3,h,589000.0,S,hockingstuart,9/09/2017,14.8,3023.0,3.0,2.0,2.0,544.0,125.0,1996.0,Brimbank City Council,-37.7687,144.75833,Western Metropolitan,6388.0
5977,Ringwood East,7 Highton St,4,h,1175000.0,S,Barry,17/06/2017,21.3,3135.0,4.0,2.0,1.0,842.0,135.0,1960.0,Maroondah City Council,-37.81109,145.25738,Eastern Metropolitan,4407.0
5978,Prahran,6 Aberdeen Rd,3,h,1390000.0,S,Marshall,19/08/2017,4.6,3181.0,3.0,2.0,1.0,125.0,0.0,2002.0,Stonnington City Council,-37.85257,145.00296,Southern Metropolitan,7717.0
5979,Mount Waverley,2 Ormiston St,4,h,1400000.0,S,Ray,23/09/2017,14.2,3149.0,4.0,2.0,2.0,664.0,,,Monash City Council,-37.86301,145.14145,Eastern Metropolitan,13366.0
